Date,Open,High,Low,Close
03/27/2024,"151.56","151.97","151.03","151.33"
03/26/2024,"151.42","151.60","151.21","151.56"
03/25/2024,"151.42","151.55","151.05","151.42"
03/22/2024,"151.63","151.87","151.01","151.46"
03/21/2024,"151.26","151.79","150.27","151.63"
03/20/2024,"150.86","151.86","150.74","151.25"
03/19/2024,"149.15","150.97","149.03","150.86"
03/18/2024,"149.05","149.33","148.92","149.16"
03/15/2024,"148.31","149.16","148.04","149.08"
03/14/2024,"147.76","148.36","147.44","148.31"
03/13/2024,"147.66","148.04","147.25","147.75"
03/12/2024,"146.78","148.10","146.63","147.65"
03/11/2024,"147.07","147.17","146.49","146.95"
03/08/2024,"148.05","148.12","146.49","147.07"
03/07/2024,"149.39","149.39","147.60","148.05"
03/06/2024,"150.05","150.09","149.10","149.41"
03/05/2024,"150.53","150.56","149.71","150.05"
03/04/2024,"150.10","150.57","149.85","150.53"
03/01/2024,"149.98","150.73","149.94","150.13"
02/29/2024,"150.69","150.70","149.21","149.98"
02/28/2024,"150.51","150.85","150.38","150.68"
02/27/2024,"150.72","150.72","150.08","150.51"
02/26/2024,"150.49","150.84","150.30","150.70"
02/23/2024,"150.53","150.79","150.30","150.52"
02/22/2024,"150.30","150.70","150.02","150.54"
02/21/2024,"150.01","150.41","149.86","150.29"
02/20/2024,"150.12","150.44","149.69","150.00"
02/19/2024,"150.23","150.28","149.88","150.13"
02/16/2024,"149.93","150.64","149.83","150.20"
02/15/2024,"150.60","150.60","149.62","149.94"
02/14/2024,"150.79","150.88","150.35","150.60"
02/13/2024,"149.36","150.89","149.27","150.78"
02/12/2024,"149.31","149.49","148.93","149.35"
